Ablative Crystal Fragment,,Ablativ-Kristallfragment,Éclat de cristal ablatif,Осколок кристалла уноса материала,烧蚀水晶碎片,除去の●水晶の●断片,Fragmento de Cristal Ablativo,제거의 결정체 조각,Ablatif Kristal Parçası,Фрагмент аблятивного кристала,Fragmento de Cristal Ablativo,Ablativní úlomek krystalu,Ablacyjny fragment kryształu
Abrasive Particles,,Schleifpartikel,Particules abrasives,Абразивные частицы,研磨粒子,研磨用粒子,Partículas Abrasivas,연마재 가루,Aşındırıcı Parçacıklar,Абразивні частинки,Partículas Abrasivas,Abrazivní částice,Ścierne cząsteczki
Add or remove parts or instructions from selection,,Teile oder Anweisungen der Auswahl hinzufügen oder entfernen,Ajouter ou enlever des pièces ou des instructions à la sélection,Добавляйте или убирайте части и команды из списка,从所选物添加或移除部件或指令,選択した中から●部品か●命令を●追加●または●削除,Añadir o eliminar partes o instrucciones de la selección,부품이나 명령을 추가로 선택 혹은 선택해제,Seçimden parça veya talimat ekle veya kaldır,Додати або видалити частини або інструкції з виділеного,Adicionar ou remover partes ou instruções da seleção,Přidejte nebo odstraňte součástky či instrukce z výběru,Dodaj/usuń części lub instrukcje z zaznaczenia
Aether Detector,,Ätherdetektor,Détecteur d'éther,Детектор эфира,以太探测器,エーテル検出器,Detector de Éter,에테르 감지기,Lokmanruhu Dedektörü,Детектор етеру,Detector de Éter,Detektor etéru,Wykrywacz eteru
Aftermath,,Auswirkungen,Conséquences,Итоги сражения,余波,戦禍,Secuelas,여파,Sonrası,Після битви,Resultado,Následky,Pokłosie
Afterword,,Nachwort,Mot de la fin,Послесловие,后记,後書き,Epílogo,후기,Sonsöz,Післямова,Posfácio,Doslov,Posłowie
Air,,Luft,Air,Воздух,风,空気,Aire,공기,Hava,Повітря,Ar,Vzduch,Powietrze
Airship Fuel,,Luftschifftreibstoff,Carburant pour dirigeable,Топливо для дирижабля,飞船燃料,飛行船の●燃料,Combustible de Dirigible,비행선 연료,Zeplin Yakıtı,Паливо для дирижабля,Combustível de Areonave,Palivo pro vzducholoď,Paliwo lotnicze
Alchemical Jewel,,Alchemistisches Juwel,Bijou alchimique,Алхимическое украшение,炼金术宝石,錬金術工学の●宝石,Joya Alquímica,연금술 보석,Simya Mücevheratı,Алхімічний смарагд,Joia Alquímica,Alchymistický drahokam,Klejnot alchemiczny
Alchemical Jewel Fragment,,Juwelenfragment,Éclat de bijou alchimique,Часть алхимического украшения,炼金术宝石碎片,錬金術工学の●宝石の断片,Fragmento de Joya Alquímica,보석 조각,Simya Mücevherat Parçası,Фрагмент алхімічного смарагда,Fragmento de Joia Alquímica,Alchymistický drahokam,Fragment klejnotu alchemicznego
"Alchemist's Workshop, House Van Tassen",,"Alchemie-Werkstatt, Haus Van Tassen","Atelier d'alchimiste, maison Van Tassen","Лаборатория алхимика, Дом Ван Тассен",炼金术工坊，范塔森家族,錬金術師の●ワークショップ、ヴァン・タッセン家,"Taller de alquimista, Casa Van Tassen","반 타쎈 가문 저택, 연금술 공방","Simyacı Atölyesi, Van Tassen Sarayı","Кабінет Алхіміка, Дім ван Тассен","Oficina do Alquimista, Casa Van Tassen","Alchymistická laboratoř, rod Van Tassen","Warsztat alchemiczny, Ród Van Tassen"
Alcohol Separation,,Alkoholseparierung,Séparation alcoolique,Разложение спирта,酒精分离,アルコール●分離,Separación de Alcohol,알코올 분해,Alkol Ayrımı,Розклад алкоголю,Separação de Álcool,Rozklad alkoholu,Separacja alkoholu
All atoms must be connected.,,Alle Atome müssen verbunden sein.,Tous les atomes doivent être connectés.,Все атомы должны быть соединены.,必须连接所有原子。,すべての●原子は●結合して●いなければ●なりません。,Todos los átomos deben estar conectados.,모든 원자들이 이어져야 합니다.,Tüm atomlar bağlı olmalıdır.,Всі атоми мають бути з'єднані.,Todos os átomos devem estar conectados.,Všechny atomy musejí být spojeny.,Wszystkie atomy muszą być połączone.
All products must be placed.,,Alle Erzeugnisse platzieren,Tous les produits doivent être placés.,Разместите все продукты.,必须放置所有产品。,全●生成物を●必ず●設置します。,Los productos deben ser ubicados.,모든 생성물이 배치되어야 합니다.,Tüm ürünler yerleştirilmelidir.,Розмістіть усі продукти.,Produtos devem ser posicionados.,Umístěte všechny produkty.,Umieść wszystkie produkty.
Alt + Left Mouse,,Alt + linke Maustaste,Alt + Clic gauche,Alt + левая кнопка мыши,Alt + 鼠标左键,Alt + 左クリック,Alt + Botón Izquierdo del Ratón,Alt + 왼쪽 클릭,Alt + Sol Fare,Alt + ЛКМ,Alt + Mouse Esquerdo,Alt + levá myš,Alt + Lewy przycisk myszy
An Act of Aggression,,Ein Akt der Aggression,Un acte d'agression,Акт агрессии,侵略行为,侵略行為,Un Acto de Agresión,위협 행동,Saldırganlık Yasası,Акт агресії,Um Ato de Agressão,Agresivní čin,Akt agresji
An Uncommon Ally,,Eine ungewöhnliche Verbündete,Une alliée inattendue,Неожиданный союзник,一个不寻常的盟友,珍しい●協力者,Un Aliado Poco Común,평범하지 않은 아군,Alışılmadık Bir Müttefik,Неочікуваний спільник,Uma Aliança Incomum,Neobvyklý spojenec,Nietypowy sojusznik
An animated GIF has been saved to your desktop.,,Ein animiertes GIF wurde auf deinem Desktop gespeichert.,Un GIF animé a été sauvegardé sur votre bureau.,Анимированный GIF-файл сохранен на вашем компьютере.,已保存一个动画GIF至您的桌面。,アニメーションGIFが●デスクトップ上に●保存されました。,Un GIF animado ha sido guardado en tu escritorio.,GIF 애니메이션이 바탕화면에 저장되었습니다.,Hareketli bir GIF masaüstünüze kaydedildi.,Анімований GIF-файл збережено на вашому робочому столі.,Um GIF animado foi salvo em sua área de trabalho.,Animovaný gif byl uložen na váš desktop.,Animowany GIF został zapisany na twoim pulpicie.
An arm cannot move past the end of a track.,,Ein Arm kann sich nicht über das Ende einer Führungsschiene hinaus bewegen.,Un bras ne peut aller plus loin que les rails.,Манипулятор не может перемещаться за пределы направляющей.,机械臂无法移动至轨道的末端。,アームは●トラックの端を●越えては●いけません。,Un brazo no puede avanzar fuera del carril.,팔은 트랙 바깥으로 움직일 수 없습니다.,Bir kol bir rayın sonunu geçemez.,Маніпулятор не може рухатись за край доріжки.,Um braço não pode ir além do final de um trilho.,Manipulátor se nemůže pohybovat za koncem své dráhy.,Ramie nie może przemieszczać się poza zakres toru.
An arm must be on a track to move forward or backward.,,"Ein Arm muss sich auf einer Führungsschiene befinden, um vor- und zurückbewegt werden zu können.",Le bras doit être sur le rail pour se déplacer d'avant en arrière.,"Чтобы перемещаться вперед или назад, манипулятор должен находиться на направляющей.",机械臂必须在一条轨道上才能够前后移动。,アームを●通路に沿って●前後に●移動させるためには、アームを●トラック上に●置く必要が●あります。,Un brazo debe estar en un carril para avanzar o retroceder.,팔이 움직이기 위해서 트랙위에 있어야 합니다.,Bir kol ileri veya geri hareket etmek için ray üzerinde olmalı.,"Щоб рухатись, маніпулятор повинен бути розміщеним на доріжці.",Um braço deve estar em um trilho para se mover.,"Manipulátor musí být na dráze, aby se mohl pohybovat tam a zpět.","Ramię musi być na torze, aby móc poruszać się w przód i w tył."
An assembly of six arms and six grippers.,,Eine Anordnung aus sechs Armen und sechs Greifern.,Un montage de six bras et six pinces.,Конструкция из шести манипуляторов и шести захватов.,六个机械臂和六个夹钳的组装。,6本のアームと●6本のグリッパーの●組み合わせ。,Un conjunto de seis brazos y seis pinzas.,여섯개의 팔과 여섯개의 집게의 조합입니다.,Altı kol ve altı kıskaçtan oluşan bir montaj.,Агрегат із шістьма маніпуляторами з захватами.,Uma estrutura com seis braços e seis garras.,Konstrukce ze šesti manipulátorů a šesti zachycovačů.,Zestaw sześciu ramion z chwytakiem.
An assembly of three arms and three grippers.,,Eine Anordnung aus drei Armen und drei Greifern.,Un montage de trois bras et trois pinces.,Конструкция из трех манипуляторов и трех захватов.,三个机械臂和三个夹钳的组装。,3本のアームと●3本のグリッパーの●組み合わせ。,Un conjunto de tres brazos y tres pinzas.,세개의 팔과 세개의 집게의 조합입니다.,Üç kol ve üç kıskaçtan oluşan bir montaj.,Агрегат з трьома маніпуляторами з захватами.,Uma estrutura com três braços e três garras.,Konstrukce ze tří manipulátorů a tří zachycovačů.,Zestaw trzech ramion z chwytakiem.
An assembly of two arms and two grippers.,,Eine Anordnung aus zwei Armen und zwei Greifern.,Un montage de deux bras et deux pinces.,Конструкция из двух манипуляторов и двух захватов.,两个机械臂和两个夹钳的组装。,2本のアームと●2本のグリッパーの●組み合わせ。,Un conjunto de dos brazos y dos pinzas.,두개의 팔과 두개의 집게의 조합입니다.,İki kol ve iki kıskaçtan oluşan bir montaj.,Агрегат з двома маніпуляторами з захватами.,Uma estrutura com dois braços e duas garras.,Konstrukce ze dvou manipulátorů a dvou zachycovačů.,Zestaw dwóch ramion z chwytakiem.
An atom may not be moved in two different directions at once.,,Ein Atom kann nicht in zwei unterschiedliche Richtungen gleichzeitig bewegt werden.,Un atome ne peut aller dans deux directions à la fois.,Атом нельзя перемещать в двух разных направлениях одновременно.,一个原子不可以同时往两个不同方向移动。,原子は一度に●2つの●異なる方向に●移動することは●できません。,Un átomo no puede ser movido en dos direcciones diferentes a la vez.,원자는 두 방향으로 동시에 움직일 수 없습니다.,Bir atom aynı anda iki farklı yönde hareket ettirilemez.,Атом не можна переміщувати у кількох напрямках одночасно.,Um átomo não pode ser movido em duas direções ao mesmo tempo.,Atom se nemůže přesunovat do dvou různých směrů najednou.,Atom nie może poruszać się w dwóch kierunkach naraz.
An impending collision or conflict in your solution has stopped the recording process.,,Eine bevorstehende Kollision oder ein bevorstehender Konflikt in deiner Lösung hat den Aufnahmeprozess angehalten.,Une collision ou un conflit imminent dans votre solution a interrompu le processus d'enregistrement.,Процесс записи был остановлен из-за заключенного в вашем решении противоречия или предстоящего столкновения частей.,你的解决方案中出现碰撞或冲突，阻止了录制过程。,ソリューション内で●衝突または●矛盾が●発生するので●記録プロセスが●停止しました。,Una colisión o conflicto inminente en su solución ha detenido el proceso de grabación.,충돌이 발생하여 녹화가 멈췄습니다.,Çözümünüzde yaklaşmakta olan bir çarpışma veya çakışma kayıt işlemini durdurdu.,Процес запису було перервано через зіткнення частин чи помилку у вашому рішенні.,Uma colisão ou conflito iminente em sua solução interrompeu o processo de gravação.,Hrozící srážka nebo konflikt ve vašem řešení zastavuje nahrávací proces.,Nadchodząca kolizja lub konflikt w twoim rozwiązaniu zatrzymały proces nagrywania.
An input for this alchemical machine.,,Ein Grundstoff für diese alchemistische Maschine.,Un ingrédient pour cette machine alchimique.,Исходные материалы для этой алхимической машины.,这是此炼金术机器的输入原料。,この錬金術の●機械のための●動力。,Un material para esta máquina alquímica.,이 연금 기계의 입력입니다.,"Bu, simya makinesi için bir girdi.",Матеріали для цієї алхімічної машини.,Uma instrução para esta máquina alquímica.,Vstup pro tento alchymistický stroj.,Reagenty dla tej maszyny alchemicznej.
An unknown error has occurred.,,Ein unbekannter Fehler ist aufgetreten.,Une erreur inconnue s'est produite.,Произошла неизвестная ошибка.,出现了一个未知错误。,不明なエラーが●発生しました。,Ha ocurrido error desconocido.,알수 없는 오류가 발생했습니다.,Bilinmeyen bir hata oluştu.,Сталася невідома помилка.,Um erro desconhecido ocorreu.,Došlo k neznámé chybě.,Wystąpił nieznany błąd.
Anataeus Vaya,,Anataeus Vaya,Anataeus Vaya,Анатеус Вайя,安纳泰俄斯·巴亚,アンテウス・ヴァヤ,Anataeus Vaya,아나테우스 바야,Anataeus Vaya,Анатей Вая,Anataeus Vaya,Anataeus Vaya,Anateusz Vaya
Appendix,,Anhang,Index,Приложение,附录,付録,Apéndice,부록,Ek,Додаток,Apêndice,Příloha,Dodatek
Area,,Bereich,Zone,Зона,区域,エリア,Área,넓이,Alan,Площа,Área,Zóna,Obszar
Arm bases may not collide.,,Armbasen dürfen nicht miteinander kollidieren.,Les supports des bras ne peuvent pas se percuter.,Основания манипуляторов не должны мешать друг другу.,机械臂的基座不可以相互碰撞。,アームの基部は●衝突しては●いけません。,Las bases de los brazos no se pueden chocar.,팔 받침끼리 충돌하면 안됩니다.,Kol kaideleri çarpışamaz.,Опори маніпуляторів не мають зіштовхуватись.,Bases de braços não podem colidir.,Základny manipulátorů se nesmějí srazit.,Podstawy ramion nie mogą się zderzać.
Armand Van Tassen,,Armand Van Tassen,Armand Van Tassen,Арманд Ван Тассен,阿曼德·范塔森,アルマンド・●ヴァン・タッセン,Armand Van Tassen,아르망드 반 타쎈,Armand Van Tassen,Арманд ван Тассен,Armand Van Tassen,Armand Van Tassen,Armand Van Tassen
Armor Filament,,Rüstungsfasern,Filament d'armure,Сверхпрочное волокно,护甲细丝,鎧の強化,Filamento de Armadura,갑옷 필라멘트,Zırh Filamenti,Броневолокно,Filamento de Armadura,Vyztužené vlákno,Włókno pancerza
Arms can be placed on tracks and instructed to move along them.,,"Arme können auf Führungsschienen platziert und so programmiert werden, dass sie sich darauf entlangbewegen.",Les bras peuvent recevoir des instructions une fois placés sur les rails.,Манипуляторы можно установить на направляющие и дать им команду двигаться вдоль этих направляющих.,机械臂可放置在轨道上，并可依照指令沿着它们移动。,アームを●トラック上に●配置し●その上を●移動するように●指示できます。,Los brazos se pueden colocar en los carriles y mover a lo largo de ellos.,선로 위에 팔을 배치해서 선로를 따라 움직일 수 있게 합니다.,Kollar ray üzerine yerleştirilebilir ve ray boyunca hareket ettirilme talimatı verilebilir.,"Маніпулятори можна розміщувати на доріжках, щоб вони по них рухались за допомогою команд.",Braços podem ser posicionados em trilhos e instruídos a se moverem por eles.,Manipulátory mohou být umístěny na dráhy a pohybovat se podle instrukcí.,Ramiona mogą być umieszczane na torach i otrzymywać instrukcje poruszania się po nich.
Arms may not leave chambers.,,Arme dürfen Kammern nicht verlassen.,Les bras ne peuvent pas quitter les chambres.,Манипуляторы не должны выходить за пределы камер.,机械臂不能离开房间。,アームを●チェンバーの●外に出す●ことは●できません。,Los brazos no pueden salir de las cámaras.,팔은 격실을 벗어날 수 없습니다.,Kollar odadan çıkamaz.,Маніпулятори не можуть залишати межі камери.,Braços não podem sair das câmaras.,Manipulátory nesmějí opustit komory.,Ramiona nie mogą opuszczać komór.
Atoms,,Atome,Atomes,Атомы,原子,原子,Átomos,원자,Atomlar,Атоми,Átomos,Atomy,Atomy
Atoms and arm bases may not collide.,,Atome und Armbasen dürfen nicht miteinander kollidieren.,Les atomes et les supports de bras ne peuvent pas se percuter.,Атомы и основания манипуляторов не должны мешать друг другу.,原子与机械臂的基座不可以相互碰撞。,原子と●アームの基部は●衝突しては●いけません。,Los átomos y las bases de los brazos no se pueden chocar.,원자와 팔 받침은 충돌하면 안됩니다.,Atomlar ve kol tabanları çarpışamaz.,Атоми та опори маніпуляторів не мають зіштовхуватись.,Átomos e bases de braços não podem colidir.,Atomy se nesmějí srazit se základnou manipulátorů.,Atomy i podstawy ramion nie mogą się zderzać.
Atoms may not collide.,,Atome dürfen nicht miteinander kollidieren.,Les atomes ne peuvent pas se percuter.,Атомы не должны мешать друг другу.,原子不可以相互碰撞。,原子は●衝突しては●いけません。,Los átomos no se pueden chocar.,원자끼리는 충돌하면 안됩니다.,Atomlar çarpışamaz.,Атоми не мають зіштовхуватись.,Átomos não podem colidir.,Atomy se nesmějí srazit.,Atomy nie mogą się zderzać.
Atoms may not leave chambers.,,Atome dürfen Kammern nicht verlassen.,Les atomes ne peuvent pas quitter les chambres.,Атомы не должны выходить за пределы камер.,原子不能离开房间。,原子を●チェンバーの●外に出す●ことは●できません。,Los átomos no pueden salir de las cámaras.,원자는 격실을 벗어날 수 없습니다.,Atomlar odalardan çıkamaz.,Атоми не можуть залишати межі камери.,Átomos não podem sair das câmaras.,Atomy nesmějí opustit komory.,Atomy nie mogą opuszczać komór.
Best: {0},,Rekord: {0},Top : {0},Рекорд: {0},最佳：{0},最高: {0},Mejor: {0},최고: {0},En iyi: {0},Рекорд: {0},Melhor: {0},Rekord: {0},Rekord: {0}
Bistabilized Salt,,Bistabilisiertes Salz,Sel bistable,Дважды стабилизированная соль,两次稳定的盐,双安定性の塩,Sal Biestabilizada,쌍안정화 소금,Bistabilize Tuz,Двостабілізована сіль,Sal Bi-Estabilizado,Dvojstabilizovaná sůl,Podwójnie stabilizowana sól
Bound atoms may not be moved in two different directions at once.,,Verbundene Atome können nicht in zwei unterschiedliche Richtungen gleichzeitig bewegt werden.,Les atomes liés ne peuvent aller dans deux directions à la fois.,Связанные атомы нельзя перемещать в двух разных направлениях одновременно.,键合原子不可以同时往两个不同的方向移动。,結合した●原子は●一度に●2つの●異なる方向に●移動する●ことは●できません。,Los átomos unidos no pueden ser movidos en dos direcciones diferentes a la vez.,결합된 원자들이 서로 다른 방향으로 이동할 수 없습니다.,Bağlı atomlar aynı anda iki farklı yönde hareket ettirilemez.,Пов'язані атоми не можна переміщувати у кількох напрямках одночасно.,Átomos presos não podem ser movidos em duas direções ao mesmo tempo.,Spojené atomy se nesmějí přesunovat do dvou různých směrů najednou.,Połączone atomy nie mogą się przemieszczać w dwóch kierunkach naraz.
Browse,,Durchsuchen,Parcourir,Обзор,浏览,閲覧,Explorar,찾아보기,Gözat,Огляд,Navegar,Prohlížet,Przeglądaj
"By using *Van Berlo's wheel* with the *glyph of duplication*, neutral salt can be turned into any of the four cardinal elements.\n\nBecause it is typically only used if an alchemist cannot otherwise access one or more of the four cardinal elements, Van Berlo's wheel is sometimes called ""the alchemist’s last hope.""",,"Durch die Benutzung von *Van Berlos Rad* mit der *Glyphe der Verdopplung* kann neutrales Salz zu einem der vier Hauptelemente umgewandelt werden.\n\nDa Van Berlos Rad normalerweise nur dann Verwendung findet, wenn ein Alchemist keinen Zugriff auf eins oder mehrere der vier Hauptelemente hat, wird es gelegentlich auch als „die letzte Hoffnung eines Alchemisten“ bezeichnet.","En utilisant la *roue de Van Berlo* avec le *glyphe de duplication*, du sel neutre peut se transformer en n'importe lequel des quatre éléments.\n\nUtilisée lorsqu'il manque au moins l'un des quatre éléments, la roue de Van Berlo est parfois appelée « le dernier espoir de l'alchimiste ».","С помощью *колеса Ван Берло* и *глифа копирования* нейтральную соль можно превратить в любой из четырех основных элементов.\n\nКолесо Ван Берло иногда называют «последней надеждой алхимика», поскольку обычно его используют, если по-другому получить какие-то основные элементы невозможно.",通过使用*范贝罗之轮*和*复制符文*，中性盐可以变成四种基本元素中的任何一种。\n\n只有当炼金术士无法使用四种基本元素中的一个或更多时，他们才会使用范贝罗之轮，故它也称为“炼金术士的最后希望”。,*ヴァン・ベルロの●ホイール*を●*複製の●象形文字*と●共に使うと、中性塩を●四大元素の●いずれかに●変換することが●できます。\n\n錬金術師が●四大元素のうちの●1つ以上に●アクセスできない●場合にのみ●使用されるため、ヴァン・ベルロの●ホイールは●「錬金術師の●最後の希望」と●呼ばれることが●あります。,"Al usar la *rueda de Van Berlo* con el *glifo de duplicación*, la sal neutra se puede convertir en cualquiera de los cuatro elementos cardinales.\n\nPorque normalmente solo se utiliza si un alquimista no puede acceder a uno o más de los cuatro elementos cardenales, la rueda de Van Berlo a veces es llamada ""la última esperanza del alquimista"".","*반 베를로 바퀴*를 *복제의 문양*과 함께 사용하면, 소금을 다른 주요 원소로 변환할 수 있습니다.\n\n반 베를로 바퀴는 보통 사용할 수 없는 주요 원소가 있을 때 사용하게 되며, 이 때문에 종종 연금술사의 마지막 희망"" 이라고 불립니다.                                                            ""","*Van Berlo'nun tekerleği* *çoğaltma glifi* ile kullanarak, nötr tuz dört kardinal elementin herhangi birine dönüştürülebilir.\n\nBu, genellikle sadece bir simyager dört kardinalin bir veya daha fazlasına erişemezse kullanılır. Van Berlo'nun tekerleğine bazen ""simyacının son umudu"" denir.","Використовуючи *колесо Ван-Берло* з *гліфом відтворення*, нейтральну сіль можна трансмутувати у будь-який з чотирьох головних елементів.\n\nОскільки його використовують лише тоді, коли алхімік не має доступу до якогось головного елемента, колесо Ван-Берло іноді називають «останньою надією алхіміка».","Usando a *Roda de Van Berlo* com um *glifo da duplicação*, sal neutro pode ser transformado em qualquer um dos elementos cardeais.\n\nPor ser tipicamente usada só quando um alquimista não possui acesso a alguns dos elementos cardeais, a Roda de Van Berlo às vezes é chamada de ""última esperança do alquimista"".","Pomocí *Van Berlova kola* s *glyfem duplikátoru* můžete neutrální soli změnit na některý ze čtyř prvotních elementů.\n\nProtože se používá jen v případě, kdy alchymista nemá jinou možnost, jak získat jeden nebo více prvotních elementů, nazývá se někdy Van Berlovo kolo ""poslední nadějí alchymisty.""","Używając *koła Van Berla* w połączeniu z *glifem duplikacji* można zamienić neutralną sól w którykolwiek z czterech żywiołów.\n\nPonieważ zestaw ten jest zazwyczaj używany, gdy alchemik nie może w inny sposób uzyskać jednego lub kilku z czterech żywiołów, czasami koło Van Berla jest nazywane ""ostatnią nadzieją alchemika""."
"By using Van Berlo's wheel with the glyph of duplication, neutral salt can be turned into any of the four cardinal elements.",,Durch die Benutzung von Van Berlos Rad mit der Glyphe der Verdopplung kann neutrales Salz zu einem der vier Hauptelemente umgewandelt werden.,"En utilisant la roue de Van Berlo avec le glyphe de duplication, le sel neutre peut se transformer en n'importe lequel des quatre éléments.",С помощью колеса Ван Берло и глифа копирования нейтральную соль можно превратить в любой из четырех основных элементов.,通过使用范贝罗之轮和复制符文，中性盐可以变成四种基本元素中的任何一种。,ヴァン・ベルロの●ホイールを●複製の●象形文字と●共に使うと、中性塩を●四大元素の●いずれかに●変換することが●できます。,"Al usar la rueda de Van Berlo con el Glifo de Duplicación, la sal neutra se puede convertir en cualquiera de los cuatro elementos cardinales.","반 베를로 바퀴를 복제의 문양과 함께 사용하면, 소금을 다른 주요 원소로 변환할 수 있습니다.","Van Berlo'nun tekerleği çoğaltma glifi ile kullanarak, nötr tuz, dört kardinal elementin herhangi birine dönüştürülebilir.","Використовуючи колесо Ван-Берло з гліфом відтворення, нейтральну сіль можна трансмутувати у будь-який з чотирьох головних елементів.","Usando a Roda de Van Berlo com um glifo da duplicação, sal neutro pode ser transformado em qualquer um dos elementos cardeais.",Pomocí Van Berlova kola s glyfem duplikátoru můžete neutrální soli změnit na některý ze čtyř prvotních elementů.,Używając Koła Van Berla w połączeniu z glifem duplikacji można zamienić neutralną sól w którykolwiek z czterech żywiołów.
Cancel,,Abbrechen,Annuler,Отмена,取消,キャンセル,Cancelar,취소,İptal,Скасувати,Cancelar,Zrušit,Anuluj
Captain Gelt,,Captain Gelt,Capitaine Gelt,Капитан Гельт,格尔特上尉,ゲルト大尉,Capitán Gelt,겔트 장군,Kaptan Gelt,Капітан Ґельт,Capitão Gelt,Kapitán Gelt,Kapitan Gelt
Change arm length (while dragging a single arm),,Armlänge ändern (beim Ziehen eines einzelnen Arms),Modifier longueur de bras (en déplaçant un seul bras),Изменение длины манипулятора (при перетаскивании одного манипулятора),改变机械臂的长度（在拖动一只机械臂时）,アームの●長さを変える●（1つのアームを●ドラッグしながら）,Cambiar el largo del brazo (mientras arrastras un brazo),(하나의 팔을 드래그 중일때) 팔 길이 변경하기 ,Kol uzunluğunu değiştir (tek bir kolu sürüklerken),Змінити довжину маніпулятора (перетягуючи лише один маніпулятор),Mudar comprimento do braço (enquanto se arrasta um único braço),Změna délku manipulátoru (tažením ramena manipulátoru),Zmień długość ramienia (gdy przeciągane jest jedno ramię)
Chapter I,,Kapitel I,Chapitre I,Глава I,第一章,第I章,Capítulo I,I 장,Bölüm I,Розділ I,Capítulo I,Kapitola I,Rozdział I
Chapter II,,Kapitel II,Chapitre II,Глава II,第二章,第II章,Capítulo II,II 장,Bölüm II,Розділ II,Capítulo II,Kapitola II,Rozdział II
